feature,importance,coefficient
feature_551,0.14951484890333436,0.14951484890333436
feature_127,0.14878009303455234,-0.14878009303455234
feature_277,0.1485989435276338,0.1485989435276338
feature_309,0.14804525616220163,-0.14804525616220163
feature_607,0.1472733139071766,0.1472733139071766
feature_516,0.14727331390717638,0.14727331390717638
feature_50,0.14727331390717283,0.14727331390717283
feature_664,0.14570611815943282,0.14570611815943282
feature_570,0.14570611815943282,0.14570611815943282
feature_449,0.14570611815943277,0.14570611815943277
feature_13,0.1457061181594315,0.1457061181594315
feature_677,0.14460432345771027,0.14460432345771027
feature_598,0.14446256164633894,0.14446256164633894
feature_492,0.14446256164633695,0.14446256164633695
feature_41,0.14446256164633345,0.14446256164633345
feature_448,0.14364491143749797,0.14364491143749797
feature_569,0.14364491143749758,0.14364491143749758
feature_498,0.14235416697608635,-0.14235416697608635
feature_605,0.1423541669760858,-0.1423541669760858
feature_48,0.1423541669760851,-0.1423541669760851
feature_699,0.14059771913409244,-0.14059771913409244
feature_373,0.1402347418464056,-0.1402347418464056
feature_176,0.1398555915339322,-0.1398555915339322
feature_45,0.13705000000458198,-0.13705000000458198
feature_537,0.1370500000045816,-0.1370500000045816
feature_602,0.1370500000045816,-0.1370500000045816
feature_212,0.13702227273298215,0.13702227273298215
feature_587,0.13677344299959676,0.13677344299959676
feature_675,0.13677344299959657,0.13677344299959657
feature_471,0.13677344299959657,0.13677344299959657
feature_30,0.1367734429995942,0.1367734429995942
feature_429,0.13658063400449408,-0.13658063400449408
feature_35,0.1362761365886075,0.1362761365886075
feature_592,0.1362761365886062,0.1362761365886062
feature_477,0.1362761365886062,0.1362761365886062
feature_669,0.1331351291273204,0.1331351291273204
feature_357,0.13306206603579,-0.13306206603579
feature_23,0.13215528103272872,-0.13215528103272872
feature_580,0.13215528103272764,-0.13215528103272764
feature_486,0.1321552810327273,-0.1321552810327273
feature_49,0.1315438180776517,-0.1315438180776517
feature_606,0.13154381807765042,-0.13154381807765042
feature_509,0.13154381807765006,-0.13154381807765006
feature_419,0.13088532721043913,-0.13088532721043913
feature_423,0.12927322260473098,0.12927322260473098
feature_418,0.12918327141035832,-0.12918327141035832
feature_686,0.12702119766416076,0.12702119766416076
feature_557,0.12634837460127965,-0.12634837460127965
feature_436,0.1263483746012783,-0.1263483746012783
feature_244,0.1251710821398774,0.1251710821398774
feature_159,0.12516483045862234,-0.12516483045862234
feature_293,0.12471211350936047,-0.12471211350936047
feature_62,0.12422448585857934,0.12422448585857934
feature_465,0.12422448585857632,0.12422448585857632
feature_619,0.12422448585857629,0.12422448585857629
feature_112,0.12350172849167647,-0.12350172849167647
feature_24,0.12308998131576263,0.12308998131576263
feature_451,0.1230899813157596,0.1230899813157596
feature_581,0.12308998131575952,0.12308998131575952
feature_628,0.12289282268302744,0.12289282268302744
feature_520,0.12289282268302743,0.12289282268302743
feature_71,0.12289282268302656,0.12289282268302656
feature_415,0.12171511855410498,-0.12171511855410498
feature_276,0.12126775707790456,0.12126775707790456
feature_425,0.12073476485134729,0.12073476485134729
feature_170,0.1205495517861083,0.1205495517861083
feature_340,0.11926745055422686,0.11926745055422686
feature_144,0.11878350930603543,-0.11878350930603543
feature_345,0.11811494900681763,0.11811494900681763
feature_442,0.11788639184054177,-0.11788639184054177
feature_563,0.117886391840541,-0.117886391840541
feature_258,0.11645025010034678,-0.11645025010034678
feature_500,0.11567891509136426,-0.11567891509136426
